playerID,weight,height,startingAge,timePlayed,endingAge,awards,battingAverage,errorsPerYear,outsPerYear,yearsplayed,assistsPerYear,AVGAtBats,AVGHits
addybo01,160.0,68.0,29.25,6.42,35.67,0,0.277,18.818,43.455,11.0,27.818,111.91,111.91
aderhmo01,188.0,73.0,24.0,6.0,30.0,0,0.269,1.75,15.625,8.0,3.25,32.5,32.5
adkindi01,165.0,70.0,22.5,0.0,22.5,0,0.0,1.0,2.0,1.0,5.0,7.0,7.0
adlesda01,187.0,72.0,19.83,5.33,25.17,0,0.178,0.667,75.5,6.0,4.333,40.33,40.33
afenitr01,185.0,76.0,24.0,4.83,28.83,0,0.0,0.25,30.75,4.0,1.25,19.75,19.75
agbaybe01,225.0,72.0,26.5,4.25,30.75,0,0.274,2.167,80.333,6.0,1.333,181.83,181.83
ageeto01,195.0,71.0,20.08,11.0,31.08,3,0.255,4.692,182.385,13.0,4.077,300.92,300.92
agganha01,200.0,74.0,25.0,1.17,26.17,0,0.261,7.5,636.0,2.0,51.5,258.5,258.5
aglerjo01,165.0,71.0,25.33,3.0,28.33,0,0.247,3.875,182.125,8.0,13.875,93.75,93.75
agnewsa01,185.0,71.0,26.0,6.42,32.42,0,0.204,18.857,290.571,7.0,110.429,219.57,219.57
aguaylu01,173.0,69.0,21.08,9.42,30.5,0,0.236,1.8,16.1,30.0,28.9,36.8,36.8
aguilch01,200.0,71.0,25.33,4.08,29.42,0,0.23,0.5,25.75,4.0,1.25,57.5,57.5
aguilje01,277.0,75.0,23.92,6.33,30.25,0,0.258,1.455,179.0,11.0,16.545,103.36,103.36
ahmedni01,200.0,74.0,24.25,6.25,30.5,0,0.236,7.429,106.286,7.0,238.571,287.71,287.71
aikenwi01,220.0,75.0,22.58,7.92,30.5,0,0.271,6.0,632.143,7.0,42.857,356.0,356.0
aingeda01,175.0,76.0,20.17,2.33,22.5,0,0.22,3.0,44.375,8.0,52.375,83.12,83.12
aitonge01,175.0,71.0,21.5,0.08,21.58,0,0.0,1.0,10.0,1.0,1.0,17.0,17.0
akejo01,180.0,73.0,22.75,0.17,22.92,0,0.0,3.333,3.333,3.0,5.0,17.33,17.33
