playerID,birthYear,weight,height,startingAge,timePlayed,endingAge,awards,battingAverage,totalAtBats,totalHits,Value Counts
bergewa01,1905.0,198.0,74.0,24.5,10.25,34.75,5,0.3,5161.0,1550.0,11
berghma01,1888.0,172.0,69.0,23.25,4.08,27.33,0,0.234,769.0,180.0,11
bergmal01,1889.0,155.0,67.0,26.92,0.08,27.0,0,0.214,14.0,3.0,11
bergmda01,1953.0,185.0,73.0,22.17,17.17,39.33,0,0.259,2662.0,690.0,16
bergmo01,1902.0,185.0,73.0,21.25,16.25,37.5,0,0.243,1813.0,441.0,11
bergowi01,1983.0,195.0,70.0,22.25,0.08,22.33,0,0.132,38.0,5.0,16
berkefr01,1853.0,182.0,72.0,31.0,0.0,31.0,0,0.24,25.0,6.0,16
berkmla01,1976.0,220.0,73.0,23.42,14.17,37.58,2,0.293,6491.0,1905.0,16
bernacu01,1878.0,150.0,70.0,22.58,0.75,23.33,0,0.238,147.0,35.0,16
bernaro01,1984.0,210.0,74.0,24.0,6.25,30.25,0,0.236,1323.0,312.0,16
bernato01,1956.0,150.0,69.0,22.92,11.75,34.67,1,0.262,3700.0,970.0,16
bernhju01,1953.0,160.0,71.0,22.92,2.75,25.67,0,0.238,492.0,117.0,16
bernica01,1927.0,180.0,69.0,26.25,0.42,26.67,0,0.213,310.0,66.0,11
bernido01,1980.0,185.0,73.0,28.0,6.92,34.92,0,0.231,65.0,15.0,16
berojo01,1922.0,170.0,72.0,25.75,2.83,28.58,0,0.212,160.0,34.0,11
berrada01,1956.0,180.0,72.0,20.67,10.17,30.83,0,0.236,2553.0,603.0,16
berrayo01,1925.0,185.0,67.0,21.33,18.67,40.0,13,0.285,7555.0,2150.0,16
berrera01,1907.0,170.0,69.0,26.67,11.42,38.08,0,0.216,1330.0,287.0,11
berroan01,1978.0,195.0,72.0,23.67,7.92,31.58,1,0.258,2575.0,665.0,16
berroge01,1965.0,165.0,72.0,24.08,11.08,35.17,0,0.277,2502.0,692.0,16
berrych01,1860.0,175.0,71.0,23.58,0.33,23.92,0,0.224,170.0,38.0,16
berrych02,1902.0,185.0,72.0,22.67,13.25,35.92,0,0.267,2016.0,539.0,11
berrycl01,1880.0,165.0,67.0,24.17,11.5,35.67,0,0.219,752.0,165.0,16
berryda01,1963.0,205.0,72.0,23.75,10.0,33.75,0,0.241,2029.0,488.0,16
berryjo01,1872.0,172.0,69.0,30.0,0.0,30.0,0,0.25,4.0,1.0,16
berryjo02,1894.0,159.0,70.0,26.58,0.83,27.42,0,0.333,6.0,2.0,11
berryke01,1941.0,175.0,72.0,21.33,12.67,34.0,2,0.255,4136.0,1053.0,16
berryne01,1922.0,168.0,70.0,26.25,6.08,32.33,0,0.244,1087.0,265.0,16
berryqu01,1984.0,195.0,73.0,27.5,5.42,32.92,0,0.268,299.0,80.0,16
berryse01,1966.0,200.0,71.0,24.5,9.83,34.33,0,0.273,2409.0,657.0,16
berryto01,1842.0,140.0,66.0,28.75,0.0,28.75,0,0.25,4.0,1.0,16
bertedi01,1935.0,200.0,72.0,24.83,6.58,31.42,0,0.25,1310.0,327.0,16
berteha01,1872.0,160.0,70.0,31.33,0.0,31.33,0,0.333,15.0,5.0,16
berthha01,1844.0,140.0,66.0,27.33,0.17,27.5,0,0.233,73.0,17.0,16
