playerID,birthYear,weight,height,startingAge,awards,hasntBatted,doublePlays,InnOuts,ERA,stikeOutAVG,errorAVG,assistAVG,DoublePlayAVG,BattersAVG,WinsAVG
kahlege01,1889.0,183.0,72.0,20.92,0,0.0,1.0,12.0,3.169,4.087,0.043,0.416,0.014,37.381,0.459
kahnlto01,1989.0,230.0,73.0,24.67,0,1.0,2.0,284.0,3.839,11.093,0.098,0.651,0.065,38.06,0.293
kaisedo01,1935.0,195.0,77.0,20.42,0,0.0,5.0,58.0,4.151,4.039,0.187,1.795,0.187,38.892,0.224
kaiseje01,1960.0,195.0,75.0,24.75,0,1.0,1.0,50.0,9.173,6.577,0.0,1.385,0.173,46.904,0.0
kamiesc01,1964.0,195.0,72.0,27.17,0,1.0,13.0,250.0,4.52,5.0,0.046,1.402,0.12,39.241,0.489
kammebo01,1950.0,210.0,76.0,27.58,0,1.0,0.0,8.0,9.138,4.569,0.0,2.908,0.0,44.031,0.0
kaneha01,1883.0,165.0,72.0,19.08,0,0.0,0.0,15.0,4.814,4.5,0.105,2.093,0.0,41.756,0.209
karchma01,1967.0,245.0,76.0,28.08,0,1.0,5.0,223.0,4.214,6.191,0.075,1.007,0.186,40.761,0.783
kargeed01,1883.0,185.0,71.0,22.92,0,0.0,13.0,140.0,2.787,3.421,0.173,2.391,0.107,36.778,0.396
karlsc01,1971.0,195.0,74.0,23.75,0,0.0,19.0,178.0,4.814,4.608,0.144,1.536,0.171,39.916,0.485
karnsna01,1987.0,225.0,75.0,25.5,0,0.0,1.0,67.0,4.301,9.285,0.114,0.826,0.028,38.763,0.456
karpry01,1970.0,217.0,76.0,25.17,0,1.0,0.0,16.0,5.294,10.588,0.529,0.529,0.0,40.765,0.529
karsast01,1972.0,210.0,75.0,21.42,0,1.0,4.0,357.0,4.013,6.832,0.149,1.193,0.06,38.919,0.477
karstje01,1982.0,185.0,75.0,23.92,0,0.0,5.0,138.0,4.437,5.014,0.091,1.018,0.076,38.213,0.395
kashita01,1971.0,165.0,71.0,26.0,0,1.0,0.0,35.0,4.309,5.457,0.287,1.436,0.0,41.649,0.862
katolja01,1875.0,195.0,71.0,23.25,0,0.0,1.0,50.0,3.316,2.244,0.399,3.341,0.025,39.166,0.424
kaufmcu01,1957.0,175.0,74.0,25.17,0,1.0,2.0,40.0,4.483,5.212,0.0,1.355,0.208,38.676,0.313
kawakke01,1975.0,200.0,71.0,33.83,0,0.0,3.0,50.0,4.321,6.057,0.148,1.44,0.111,39.152,0.295
kazmisc01,1984.0,185.0,72.0,20.58,0,0.0,5.0,298.0,4.006,8.565,0.133,0.847,0.027,38.633,0.575
keaglgr01,1971.0,185.0,73.0,24.83,0,1.0,1.0,46.0,6.763,6.711,0.0,0.839,0.052,43.462,0.315
kealest01,1947.0,185.0,72.0,21.33,0,0.0,0.0,139.0,4.283,5.291,0.252,0.84,0.0,38.505,0.336
keefebo01,1882.0,155.0,71.0,24.83,0,0.0,0.0,19.0,3.144,3.843,0.05,0.499,0.0,37.231,0.399
keefege01,1867.0,168.0,69.0,19.5,0,0.0,1.0,79.0,5.052,3.11,0.263,1.811,0.015,42.829,0.292
keefeti01,1857.0,185.0,70.0,23.58,1,0.0,31.0,625.0,2.627,4.57,0.31,1.923,0.055,37.323,0.61
keegabo01,1920.0,207.0,74.0,32.75,0,0.0,4.0,113.0,3.658,2.764,0.042,1.354,0.056,38.643,0.558
keegaed01,1939.0,165.0,75.0,20.08,0,1.0,0.0,13.0,9.0,4.304,0.0,0.391,0.0,47.348,0.0
keelebu01,1879.0,170.0,69.0,28.42,0,0.0,2.0,30.0,3.324,3.477,0.511,3.631,0.102,38.608,0.307
keenaji01,1856.0,186.0,70.0,19.25,0,0.0,98.0,540.0,2.368,0.947,110.368,287.526,46.421,36.0,0.0
keeneha01,1868.0,185.0,70.0,27.83,0,0.0,1.0,16.0,5.876,2.224,0.238,2.144,0.079,41.056,0.238
keeneje01,1959.0,170.0,72.0,23.42,0,1.0,0.0,23.0,2.7,9.788,0.0,1.012,0.0,42.188,0.338
keetori01,1957.0,190.0,74.0,23.17,0,1.0,3.0,22.0,4.948,2.403,0.0,1.272,0.424,40.288,0.424
keislra01,1976.0,200.0,75.0,24.58,0,0.0,0.0,55.0,6.631,5.973,0.119,1.195,0.0,41.934,0.239
kekicmi01,1945.0,196.0,73.0,20.17,0,0.0,5.0,235.0,4.591,5.197,0.052,1.328,0.052,39.695,0.408
kelake01,1993.0,220.0,73.0,22.0,0,1.0,0.0,228.0,3.228,11.026,0.084,0.755,0.0,36.685,0.88
kellebr01,1995.0,250.0,77.0,22.67,0,0.0,4.0,69.0,3.68,6.419,0.029,0.972,0.118,38.041,0.471
kelledi01,1940.0,174.0,71.0,24.25,0,0.0,7.0,188.0,3.394,6.391,0.069,1.576,0.121,37.945,0.312
kellemi03,1996.0,205.0,74.0,23.08,0,1.0,0.0,11.0,7.125,12.188,0.188,0.188,0.0,42.562,0.188
kellero01,1943.0,200.0,74.0,23.08,0,1.0,0.0,9.0,3.375,5.062,0.0,1.266,0.0,37.969,0.0
kellesh01,1984.0,237.0,74.0,25.0,0,1.0,4.0,493.0,3.796,10.091,0.058,0.542,0.077,37.42,0.62
kelleto01,1944.0,190.0,72.0,20.33,0,0.0,4.0,104.0,3.75,5.162,0.066,0.86,0.088,39.044,0.441
kellnal01,1924.0,200.0,72.0,23.67,0,0.0,12.0,142.0,4.409,3.971,0.034,0.574,0.058,39.045,0.492
kelluwi01,1876.0,190.0,70.0,25.0,0,0.0,1.0,53.0,3.193,2.518,0.078,2.856,0.026,36.242,0.519
kellybo01,1927.0,180.0,72.0,23.58,0,0.0,1.0,15.0,4.5,3.63,0.0,0.149,0.025,39.182,0.298
kellybr01,1959.0,195.0,74.0,27.58,0,1.0,0.0,11.0,4.696,8.217,0.293,1.174,0.0,40.5,0.293
kellyca01,1989.0,215.0,75.0,22.83,0,0.0,2.0,26.0,5.463,5.883,0.105,1.471,0.21,41.813,0.21
kellyjo05,1988.0,174.0,73.0,24.0,0,0.0,6.0,305.0,3.924,7.448,0.226,1.144,0.08,38.944,0.638
kellyki01,1857.0,170.0,70.0,20.42,0,0.0,145.0,1611.0,4.139,0.788,167.715,344.693,28.577,46.511,0.394
